Title,Product URL,Price,Solder,Review,Review Number,Image URL,Crawl Time
The Heaven & Earth Grocery Store: A Novel,https://www.amazon.com/Heaven-Earth-Grocery-Store-Novel-ebook/dp/B0BPNP7YQB/ref=sr_1_1?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-1,$14.99,James McBride,4.5 out of 5 stars,"24,447",https://m.media-amazon.com/images/I/81iJhMIo2lL._AC_UY218_.jpg,2024-01-28 22:38:44
The Bad Weather Friend,https://www.amazon.com/Bad-Weather-Friend-Dean-Koontz-ebook/dp/B0C2VYV9KD/ref=sr_1_2?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-2,$9.99,Dean Koontz,4.1 out of 5 stars,"7,427",https://m.media-amazon.com/images/I/81GkJIs4EtL._AC_UY218_.jpg,2024-01-28 22:38:44
Hang the Moon: A Novel,https://www.amazon.com/Hang-Moon-Novel-Jeannette-Walls-ebook/dp/B0B3Y5Q75C/ref=sr_1_3?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-3,$1.99,Jeannette Walls,4.3 out of 5 stars,"12,792",https://m.media-amazon.com/images/I/81uA7guidTL._AC_UY218_.jpg,2024-01-28 22:38:44
First Lie Wins: Reese's Book Club Pick (A Novel),https://www.amazon.com/First-Lie-Wins-Ashley-Elston-ebook/dp/B0C1Y9RMLR/ref=sr_1_4?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-4,$14.99,Ashley Elston,4.5 out of 5 stars,"7,041",https://m.media-amazon.com/images/I/81JK51UWPpL._AC_UY218_.jpg,2024-01-28 22:38:44
The Exchange: After The Firm (The Firm Series Book 2),https://www.amazon.com/Exchange-After-Firm-Book-ebook/dp/B0BYHPHG1L/ref=sr_1_5?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-5,$14.99,John Grisham,4.0 out of 5 stars,"38,635",https://m.media-amazon.com/images/I/91afIYwE9BL._AC_UY218_.jpg,2024-01-28 22:38:44
The Secret: A Jack Reacher Novel,https://www.amazon.com/Secret-Jack-Reacher-Novel-ebook/dp/B0BRPZLG9G/ref=sr_1_6?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-6,$14.99,Lee Child,4.3 out of 5 stars,"33,630",https://m.media-amazon.com/images/I/81cc7Zt6fvL._AC_UY218_.jpg,2024-01-28 22:38:44
"Holmes, Marple & Poe: The Greatest Crime-Solving Team of the Twenty-First Century (Holmes, Margaret & Poe)",https://www.amazon.com/Holmes-Marple-Poe-Crime-Solving-Twenty-First-ebook/dp/B0C436JH9L/ref=sr_1_7?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-7,$14.99,James Patterson,4.5 out of 5 stars,"2,296",https://m.media-amazon.com/images/I/71p4d02gMxL._AC_UY218_.jpg,2024-01-28 22:38:44
Resurrection Walk,https://www.amazon.com/Resurrection-Walk-Michael-Connelly-ebook/dp/B0BSTZZT12/ref=sr_1_8?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-8,$14.99,Michael Connelly,4.7 out of 5 stars,"30,109",https://m.media-amazon.com/images/I/815DqmpGt9L._AC_UY218_.jpg,2024-01-28 22:38:44
Fourth Wing (The Empyrean Book 1),https://www.amazon.com/Fourth-Wing-Empyrean-Book-1-ebook/dp/B0BGDM197Q/ref=sr_1_9?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-9,$14.99,Rebecca Yarros,4.8 out of 5 stars,"158,941",https://m.media-amazon.com/images/I/914HWd0RxsL._AC_UY218_.jpg,2024-01-28 22:38:44
Found in a Bookshop: The perfect winter read - heart-warming and unforgettable,https://www.amazon.com/Found-Bookshop-Stephanie-Butland-ebook/dp/B0B6VBLDL1/ref=sr_1_10?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-10,$0.99,Stephanie Butland,4.4 out of 5 stars,"3,920",https://m.media-amazon.com/images/I/71HYIH4z4xL._AC_UY218_.jpg,2024-01-28 22:38:44
The Edge (6:20 Man Book 2),https://www.amazon.com/Edge-20-Man-Book-ebook/dp/B0BTZ2CQQ1/ref=sr_1_11?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-11,$14.99,David Baldacci,4.6 out of 5 stars,"18,113",https://m.media-amazon.com/images/I/91+AC9AYVWL._AC_UY218_.jpg,2024-01-28 22:38:44
The Island: Compass Key Book 1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTIyMzE4MjkzODAzMDI4OjE3MDY0OTk1MTk6c3BfbXRmOjIwMDAzOTc3MDkxMTc5ODo6MDo6&url=%2FIsland-Compass-Key-Book-ebook%2Fdp%2FB09S811WFC%2Fref%3Dsr_1_12_sspa%3Fcrid%3D35BK3MAMZOGFM%26keywords%3DKindle%2BStore%26qid%3D1706499519%26s%3Ddigital-text%26sprefix%3D%252Cdigital-text%252C79%26sr%3D1-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$0.00,Maggie Miller,4.6 out of 5 stars,"3,917",https://m.media-amazon.com/images/I/81tMOwGMZzL._AC_UY218_.jpg,2024-01-28 22:38:44
A Woman's Place: A Novel,https://www.amazon.com/Womans-Place-Novel-Barbara-Delinsky-ebook/dp/B000FCKH5Q/ref=sr_1_13?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-13,$1.99,Barbara Delinsky,4.4 out of 5 stars,"1,498",https://m.media-amazon.com/images/I/51XVo03R76L._AC_UY218_.jpg,2024-01-28 22:38:44
The Silent Patient,https://www.amazon.com/Silent-Patient-Alex-Michaelides-ebook/dp/B07D2C6J4K/ref=sr_1_14?crid=35BK3MAMZOGFM&keywords=Kindle+Store&qid=1706499519&s=digital-text&sprefix=%2Cdigital-text%2C79&sr=1-14,$0.00,Alex Michaelides,4.4 out of 5 stars,"293,434",https://m.media-amazon.com/images/I/91lslnZ-btL._AC_UY218_.jpg,2024-01-28 22:38:44
